category,label_name,note,num,onboard_time,rank,raw_hot,star_name,word,word_scheme
"财经,情感",,月入一万是什么水平,301979,1675781674,0,301979,{},月入一万是什么水平,#月入一万是什么水平#
社会新闻,,女子用狂飙导演照片卖身葬父,279710,1675785268,1,279710,{},女子用狂飙导演照片卖身葬父,#女子用狂飙导演照片卖身葬父#
国内要闻,,流动的中国绽放着蓬勃活力,271732,1675756171,2,2211,{},流动的中国绽放着蓬勃活力,#流动的中国绽放着蓬勃活力#
影视,,安欣没救到的只有李响,268865,1675785149,3,268865,{},安欣没救到的只有李响,#安欣没救到的只有李响#
科技,热,抖音将于3月1日上线全国外卖服务,253333,1675762349,4,253333,{},抖音将于3月1日上线全国外卖服务,#抖音将于3月1日上线全国外卖服务#
社会新闻,热,女子取药时发现医生用手机追剧,240180,1675773030,5,240180,{},女子取药时发现医生用手机追剧,#女子取药时发现医生用手机追剧#
艺人,热,张译新闻联播镜头,222024,1675779033,6,222024,张译,张译新闻联播镜头,#张译新闻联播镜头#
影视,新,肖战骄阳伴我状态,190907,1675792334,7,190907,肖战,肖战骄阳伴我状态,#肖战骄阳伴我状态#
综艺,热,吴昕换头像被杜海涛问怀孕了吗,173842,1675774292,8,173842,"吴昕,杜海涛",吴昕换头像被杜海涛问怀孕了吗,#吴昕换头像被杜海涛问怀孕了吗#
综艺,新,再见爱人不能没有胡彦斌,171252,1675792036,9,171252,胡彦斌,再见爱人不能没有胡彦斌,#再见爱人不能没有胡彦斌#
影视,新,肖战骄阳伴我工作照,169782,1675792334,10,184139,肖战,肖战骄阳伴我工作照,#肖战骄阳伴我工作照#
影视,新,刘敏涛女士的品格状态,165156,1675791854,11,165156,刘敏涛,刘敏涛女士的品格状态,#刘敏涛女士的品格状态#
综艺,新,马嘉祺宋亚轩严浩翔近期单人外务,157177,1675789578,12,157177,"宋亚轩,严浩翔,马嘉祺",马嘉祺宋亚轩严浩翔近期单人外务,#马嘉祺宋亚轩严浩翔近期单人外务#
影视,新,王佳怡再唱樱桃曲梦回满江红瑶琴,156973,1675791854,13,156973,王佳怡,王佳怡再唱樱桃曲梦回满江红瑶琴,#王佳怡再唱樱桃曲梦回满江红瑶琴#
